Protein	Gene	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
WD repeat-containing protein 13	WDR13	21.70919	22.16893	20.62471	21.8732	21.74172	22.42696	22.48704	22.87952	22.07173	21.97446	22.1637	21.03282	22.01678	21.94814	22.18846	21.80295	22.78181	22.38789	21.46492	22.5379	21.7868	21.95309	22.29737	22.23611	23.19073	22.43292	21.8955	22.86164	22.49139	22.74488	21.97617	22.21201
Non-erythrocytic beta-spectrin 4	SPTBN4	24.71309	24.18843	17.9978	21.41271	20.2431	20.16203	23.76024	23.85408	24.76146	25.36237	17.59129	20.30038	25.04723	20.87944	24.75318	26.80041	24.57427	24.34248	20.55378	23.6782	19.15846	18.23908	25.18499	25.76266	23.51232	21.1882	21.05744	22.13699	19.81846	19.03271	24.55307	25.18964
Isoform 2 of Vacuolar protein sorting-associated protein 33B	VPS33B	21.1303	20.0797	19.26699	20.9503	19.27281	20.52086	21.15836	23.40283	21.29025	19.89292	20.84513	20.98746	20.75942	19.91823	21.37997	20.38237	23.88058	21.94532	18.95831	20.48984	20.26754	20.53616	21.52677	21.63298	23.0914	23.34117	19.25561	20.00466	21.00956	19.91572	21.63232	21.65786
Isoform 2 of Vacuolar protein sorting-associated protein 16 homolog	VPS16	22.82778	22.99459	22.75724	22.38546	23.22414	22.61279	20.66271	21.11935	22.01133	21.82353	22.35595	22.92729	22.27714	22.79967	22.24272	22.07296	20.42831	21.67245	22.77728	22.85202	18.33557	22.41207	22.46583	22.00103	20.4572	20.51113	22.3932	23.4538	22.28263	23.1855	22.4488	22.40651
SH3 domain-binding glutamic acid-rich-like protein 3	SH3BGRL3	27.63072	27.93187	26.55485	25.49174	28.52389	26.81186	27.34003	27.18303	27.20445	26.64008	26.14523	25.40722	27.30207	26.84426	26.47887	28.06789	26.99509	27.26395	26.63222	25.82022	27.633	26.64052	26.99793	27.73072	27.29007	26.64271	26.16955	25.57974	26.92545	25.68038	26.59812	26.90939
Gigaxonin	GAN	20.00985	19.70584	18.86185	20.11758	20.2618	18.48527	21.35751	20.2061	21.17694	19.65541	20.37475	19.8107	21.00587	21.349	20.81338	21.93378	21.46772	20.85354	20.05173	20.67228	22.25618	20.66841	21.82983	22.01236	20.32768	19.27779	20.52993	19.86573	19.37623	21.42178	21.41609	21.53176
Rab3 GTPase-activating protein non-catalytic subunit	RAB3GAP2	21.64799	18.97481	20.73269	22.6677	21.69753	21.67125	20.48802	20.49405	22.12177	21.00287	21.49031	21.9523	21.70839	21.92764	21.58495	21.30196	19.70368	21.21371	22.14236	22.02109	21.84482	22.29278	21.08505	20.81613	21.90885	20.0445	21.11102	21.47191	21.09811	21.44241	20.88107	21.14546
Isoform 2 of Solute carrier family 12 member 5	SLC12A5	18.99037	19.56419	19.91137	19.93106	22.99311	18.75458	19.13011	20.98429	19.93529	19.32694	18.39113	19.80476	18.86659	18.9488	20.41652	19.60946	20.93512	18.83717	18.85538	19.3218	16.89095	19.35646	17.31239	21.72688	21.87636	22.83403	19.69379	18.10131	21.24293	21.70161	22.70361	22.66005
Pinin	PNN	22.9218	23.17744	24.403	23.94625	23.17792	22.33088	21.50726	20.27456	22.47056	22.11518	22.51281	22.60558	22.56128	21.78648	20.58242	21.45192	22.59871	22.41591	23.25047	22.97384	22.212	21.93894	21.67237	21.1122	20.31063	21.36942	24.45044	23.87842	23.75783	24.23833	21.84867	21.84307
Isoform 5 of Protein tweety homolog 1	TTYH1	18.94026	22.393	20.96601	23.06996	21.66908	22.18147	22.70025	24.1906	22.23193	22.97618	22.03698	22.71789	22.91579	22.65052	22.98624	23.11579	21.75208	22.335	21.13771	23.36172	23.46491	22.64647	22.82789	23.22648	21.80026	20.72147	21.28692	22.90727	20.34736	22.25644	22.78452	23.70944
UPF0696 protein C11orf68	C11orf68	23.45653	24.31624	23.90288	24.45343	24.16398	19.17829	23.23277	22.58383	24.01894	24.17493	23.55719	24.05629	23.93874	23.96929	23.9549	23.23555	22.83413	24.50748	23.71059	24.42077	23.43682	24.20094	24.07512	23.33304	20.49055	24.1043	23.71267	24.00244	23.89661	23.51727	24.0284	23.41265
BolA-like protein 2	BOLA2	24.89805	26.15198	23.66927	24.32413	25.70595	23.79997	23.09504	23.21814	25.71499	24.23935	24.87683	25.13005	25.23438	24.99256	25.03336	24.06585	23.40082	25.30499	24.25002	25.12396	24.80931	24.53578	24.72622	23.89173	24.42226	23.81091	24.35394	24.86279	25.05073	24.49941	24.83279	23.15842
Thioredoxin-related transmembrane protein 1	TMX1	25.39529	26.70784	26.13327	25.71858	26.11977	26.00947	23.78585	22.16741	24.35601	25.10105	24.24944	23.95963	24.72509	24.47511	24.30116	22.00319	22.17125	23.38022	22.57806	23.34431	23.79383	22.79886	23.00835	22.55224	23.01454	22.30552	22.76169	21.40271	23.51022	23.13525	22.97494	22.75521
Golgi resident protein GCP60	ACBD3	20.15661	21.97883	22.38352	22.40943	22.23664	19.88279	21.02772	20.96575	22.02103	17.60042	21.98484	21.48635	22.41111	20.78528	19.75192	20.29476	19.15548	20.29131	19.65469	20.33975	22.47991	18.35675	19.07113	19.54759	21.98115	22.18498	23.14115	22.69804	22.45358	22.83956	21.59682	22.11252
Isoform 2 of Cdc42 effector protein 4	CDC42EP4	21.59561	22.71487	21.38795	21.5158	22.71312	21.35482	20.78687	19.01396	21.38179	21.24493	20.51197	21.57436	21.31904	22.47877	21.41323	21.69642	18.98481	21.76858	21.15968	20.60912	21.44733	18.91599	19.47596	22.43092	20.35804	21.44575	21.40749	20.50331	19.30672	20.72332	21.4729	22.12256
Tyrosine-protein phosphatase non-receptor type 23	PTPN23	22.36773	22.86988	22.629	23.29758	22.58041	22.24963	24.97491	21.40282	23.42218	22.41834	23.05544	23.021	22.63808	23.29592	23.61188	23.65014	22.9515	23.07098	23.2732	23.98218	22.64006	23.20109	23.79721	19.89189	25.67034	23.10488	23.30966	22.83831	23.36037	23.66145	23.15139	23.23676
DnaJ homolog subfamily C member 5	DNAJC5	20.20615	20.57728	20.62364	21.18241	18.37994	18.55907	19.57239	21.70669	19.77553	21.07032	21.60499	22.63418	21.89124	21.89534	21.073	21.80114	20.19878	21.0492	18.65213	21.68135	22.10374	21.83963	22.07933	21.99516	20.49485	19.218	20.01234	20.03725	20.20131	21.58733	19.97438	21.36065
Charged multivesicular body protein 4b	CHMP4B	23.24586	22.42533	23.52935	22.86827	23.31326	23.63887	24.61493	23.81935	23.18745	23.18743	23.32362	23.52514	23.05922	23.53483	23.0717	24.00852	23.45798	23.33476	23.36626	23.64856	23.62324	22.93264	22.58513	23.62849	24.70578	22.97819	22.12246	23.06509	23.85266	22.96131	23.13724	23.51189
Fructosamine-3-kinase	FN3K	20.93295	19.60642	23.42624	23.14069	22.90965	19.68988	23.41619	24.83949	23.05643	21.96381	23.73396	18.9534	23.12152	23.16635	23.44584	23.49205	24.57943	22.93537	23.6822	23.91802	23.77021	23.0413	23.59813	23.32842	23.87153	25.09324	24.15357	23.76162	22.43041	23.29593	23.06037	23.87134
Isoform 2 of Phosphatidylinositol glycan anchor biosynthesis class U protein	PIGU	20.53405	21.23468	20.18665	21.36591	19.62896	20.79655	19.10181	19.89854	20.4138	19.2339	20.35294	20.19879	20.53135	18.68893	20.25234	20.63746	20.47521	19.75442	21.05294	18.69761	18.71448	19.17245	21.53515	19.47735	20.62483	21.18732	20.16712	19.65568	19.97748	18.97016	18.76657	19.1515
Microtubule-associated proteins 1A/1B light chain 3A	MAP1LC3A	23.42144	20.68726	23.60519	23.66405	24.11382	24.04672	21.1935	23.48056	24.54028	24.82785	25.25436	25.29019	24.82689	25.43559	25.06108	24.11668	24.00958	26.02738	25.73203	25.30207	25.25534	26.25961	25.02056	24.25779	20.98403	24.9403	25.87257	25.89602	24.81639	25.93057	25.47231	24.45204
Aminopeptidase B	RNPEP	24.04396	23.4509	23.37353	23.72637	23.3576	22.89753	23.05498	22.52139	24.03609	23.01203	23.066	22.74509	23.14484	23.1549	22.87833	22.92854	22.81755	23.05562	23.66505	21.49717	22.93157	22.85051	22.42064	22.13961	22.70066	23.0431	22.78307	21.96059	22.9679	22.16716	22.40546	22.52893
SPARC-related modular calcium-binding protein 1	SMOC1	21.75481	21.98934	21.59749	22.07734	22.24426	19.5309	21.63346	21.71515	23.57608	23.08686	22.42404	22.83107	22.82882	22.77739	22.27497	23.99884	22.70023	22.96114	23.37032	22.88897	23.06144	22.57696	22.99986	23.67174	21.17729	22.10349	20.89921	21.60333	21.71137	20.16359	21.52806	20.75719
Band 4.1-like protein 1	EPB41L1	25.41921	22.83645	24.3302	24.31723	24.09307	24.27071	25.2447	26.98845	25.72463	26.54623	27.08283	26.14083	26.67794	26.72034	26.86711	27.40017	26.06487	26.98126	27.32803	26.97502	26.83471	27.27306	26.98484	27.43768	24.52107	26.19898	26.26678	26.3527	25.96552	26.35569	26.51228	26.92624
Golgi-associated plant pathogenesis-related protein 1	GLIPR2	22.62586	23.30563	23.47436	23.05779	23.08893	24.09549	22.96626	22.16309	17.33626	18.86304	22.61661	23.3821	22.77963	23.858	22.69337	20.67244	21.53801	20.31802	22.21027	21.68637	22.83582	23.00199	22.74882	22.74725	21.19384	20.29956	22.32934	22.52073	22.86897	22.92746	22.40471	22.48526
EH domain-containing protein 1	EHD1	24.34514	23.57991	25.43254	23.48677	24.29203	23.70939	24.14723	23.9654	24.77481	25.20172	24.73516	24.34889	24.80322	24.60614	25.42103	24.59179	23.71776	24.86987	24.45731	24.78372	24.21483	24.47864	24.29698	24.16201	20.22212	23.54927	23.71345	22.94739	23.89559	23.92959	23.5992	23.89497
Isoform 3 of PDZ domain-containing protein 7	PDZD7	25.74422	25.51008	26.75388	26.91022	25.45026	27.57885	21.35907	20.6917	26.11674	25.88281	27.84876	18.59082	26.37674	19.49121	26.18177	26.06882	21.84226	26.52157	28.07821	28.45117	26.09368	28.07765	26.62686	25.03841	22.38207	20.09011	19.70915	28.09914	26.04681	19.71543	26.03342	25.78644
Bifunctional lysine-specific demethylase and histidyl-hydroxylase NO66	NO66	22.29914	19.93925	21.78656	19.43324	20.01553	21.52493	20.29584	22.05112	22.33306	19.26338	20.83176	19.14235	21.45382	20.10568	19.84456	18.13447	20.74823	22.14401	22.34538	19.80068	20.38898	20.10786	21.04921	20.30268	21.02015	21.97911	22.63795	23.77676	21.87279	19.04918	22.03032	20.54288
Ran-binding protein 3	RANBP3	23.57264	23.01084	23.61332	22.7612	23.18645	23.11743	22.92042	22.72865	22.57458	21.96299	20.93339	21.76919	21.39952	19.28804	21.38052	22.06454	22.74607	22.13586	22.31906	21.37436	21.9491	21.62129	21.52364	21.51587	23.09466	25.21911	23.80052	22.96351	22.12947	22.00327	22.32311	22.60695
dCTP pyrophosphatase 1	DCTPP1	24.57586	24.86788	23.40661	23.22073	24.17404	22.59918	22.83434	22.05981	24.19033	24.18974	23.28118	23.44805	23.54942	22.61827	23.86822	22.42647	23.69415	23.72981	22.79578	22.91969	23.05391	22.79591	23.46852	22.56376	23.40359	23.14783	23.20614	22.70758	22.92207	23.07522	23.28808	22.53623
Histone-lysine N-methyltransferase SMYD3	SMYD3	21.13552	21.47084	20.5598	21.81531	20.77977	20.7343	22.49838	24.33231	22.36247	21.4907	21.22388	21.65302	22.21549	21.15406	20.96409	21.29291	19.68189	21.82891	20.80581	21.68367	21.86712	22.06914	20.71745	21.25488	21.94996	23.86278	20.96754	20.96712	22.1034	21.38795	20.23023	21.40863
Mth938 domain-containing protein	AAMDC	23.14311	20.24198	20.01283	23.4742	24.19475	20.68226	19.27486	22.70599	22.9594	20.71876	18.52154	23.05389	22.63927	20.62803	20.1114	19.24734	21.14284	22.66397	18.745	20.08623	20.1016	19.91989	19.9363	19.75763	21.21111	20.45685	19.38523	21.43229	19.82738	19.36552	20.6886	22.36525
WD repeat-containing protein 26 (Fragment)	WDR26	20.24466	22.05045	20.06337	17.34408	19.27713	21.54123	20.81138	22.06672	20.20313	18.12201	19.03394	19.86842	19.29264	20.05972	18.49066	19.5281	21.84564	19.11199	20.01958	19.77237	17.81792	20.05825	17.80607	18.57121	20.91651	21.81236	20.64177	20.95568	21.40872	21.32773	20.51007	20.48243
Multivesicular body subunit 12B	MVB12B	23.38148	23.34748	22.40217	20.64755	23.86165	22.31655	19.10401	25.43889	23.74026	23.03648	22.60151	22.37848	23.25124	21.3443	24.41237	22.89208	23.9712	23.42928	22.15109	22.24208	22.23729	21.23203	23.43242	23.32879	22.86742	22.75372	21.89201	21.86333	22.59759	21.20447	22.91691	22.78027
Prostaglandin E synthase 2	PTGES2	18.7683	20.90665	20.30059	19.70889	20.21524	20.57556	21.46959	21.83719	21.16711	20.05881	20.52526	20.22811	18.64075	19.50672	20.56758	18.38866	21.1847	20.61153	20.49823	20.25419	21.41868	20.72501	21.08675	20.11006	19.98509	21.16429	20.49619	19.26008	19.72905	21.06267	21.10879	21.79397
Methyltransferase-like protein 7A (Fragment)	METTL7A	20.33545	21.19779	22.10777	22.83942	22.37547	19.84857	20.07106	22.94174	21.71144	22.49841	18.69884	23.05141	18.54482	22.16158	23.12942	21.49012	20.67915	19.56108	20.39554	20.41086	18.86688	19.36759	20.51052	22.01212	23.27008	21.70024	19.28	20.15406	18.10299	19.45613	19.27045	17.61064
Isoform 2 of Golgi reassembly-stacking protein 2	GORASP2	21.77052	22.35318	20.15178	19.89555	21.86933	20.35767	20.69508	19.7841	21.84924	20.8263	18.29071	21.75983	19.85525	19.29722	19.42722	18.17776	19.12012	19.65084	20.6428	21.15838	19.16782	20.31155	18.00275	20.84364	22.69563	21.85806	22.76196	21.88687	19.66448	20.87086	21.71655	21.15727
Isoform 2 of Receptor expression-enhancing protein 1	REEP1	20.19877	21.17207	20.63791	19.98798	20.32542	20.01483	21.12706	21.12521	22.22703	21.72722	23.13651	21.17722	21.2877	23.91727	20.47615	22.66616	19.02972	23.29911	23.3056	22.35328	22.52152	22.78449	20.20192	21.40216	20.53469	21.37814	21.00163	22.02004	17.20477	21.37158	21.64039	21.03617
Hematological and neurological-expressed 1-like protein (Fragment)	HN1L	24.74567	26.24918	23.76126	24.33467	25.7574	23.79638	21.68994	19.76005	24.09786	23.80888	20.9371	24.06322	23.50747	20.45702	19.22776	23.84078	20.96261	23.21426	19.40942	23.22559	23.26128	22.86416	18.83915	22.76741	20.58498	23.24695	19.99789	22.75091	23.11234	21.3128	23.24779	19.43917
Mitochondrial glutamate carrier 1	SLC25A22	21.21852	21.61088	21.71436	21.02902	18.89262	19.32782	20.42072	22.75653	22.44751	22.74673	22.94572	22.14132	23.07034	22.81795	24.25872	24.91117	22.20018	23.02941	23.64314	22.79091	24.36704	24.11183	24.99284	25.32305	22.23672	22.99483	23.51703	23.26598	24.19559	24.15532	24.89309	25.76
Leucine-rich repeat-containing protein 40	LRRC40	23.80263	24.87403	24.20365	25.0614	24.6895	24.23218	23.48785	22.95602	25.44936	24.47944	25.4192	25.39314	25.01026	25.22746	25.59757	25.09168	24.22945	24.4475	25.18879	25.80925	24.93147	25.42201	24.97172	25.03163	21.14092	23.54134	24.64258	24.82156	24.73243	24.78074	24.9844	24.69156
Sideroflexin-1	SFXN1	25.14798	25.22346	24.54535	23.77837	23.56199	24.46473	24.8387	25.1937	25.10288	25.2584	25.05095	25.14561	25.04928	25.81258	25.63861	25.69991	24.17547	24.95625	24.97364	25.18012	25.37223	25.27378	25.5309	25.67917	23.83294	24.80774	25.08425	24.18295	25.49458	24.33751	25.47594	25.93783
Vacuolar protein sorting-associated protein 37B (Fragment)	VPS37B	21.78548	20.71095	20.50261	21.40977	21.1221	20.04083	20.80324	19.87667	22.35748	21.75669	21.17804	21.41411	21.2955	18.55722	21.6044	20.88312	20.01775	21.11056	18.43722	20.2702	21.51284	19.85968	20.26574	21.28689	19.87584	19.98726	18.86046	19.78413	20.59787	20.84972	21.39221	21.38216
Ketosamine-3-kinase	FN3KRP	23.49192	23.08948	22.80349	20.32036	23.99311	23.9198	23.61108	22.9286	22.94407	22.92217	23.38001	23.06163	23.64161	21.85377	23.3649	23.8795	22.15564	23.83088	23.15583	22.23978	24.27442	23.42936	24.10929	23.56816	20.90896	23.10307	20.50226	18.62053	23.09577	22.74448	23.90037	22.97653
Isoform 3 of TBC1 domain family member 17	TBC1D17	22.38966	22.87733	22.52669	23.31639	22.81822	23.27909	23.17687	23.57854	23.55546	24.12579	23.63201	24.36171	24.17803	23.50167	24.53376	23.8607	23.68094	23.61816	23.85885	23.43795	24.19147	23.93768	24.21593	24.10647	23.12215	23.07284	23.7164	23.62725	23.59622	23.28781	23.68737	23.83147
Latrophilin-3	LPHN3	19.2049	18.99728	19.22859	22.01073	20.48184	17.84014	20.06438	22.94991	20.44069	19.82533	22.93451	20.2536	22.31717	21.54391	19.97708	22.7509	23.47041	24.12153	22.41909	22.60238	23.517	21.74292	21.00256	23.6243	20.85895	23.36554	23.24514	23.55438	22.45376	21.87215	22.7208	23.13584
Guanine nucleotide-binding protein subunit beta-4	GNB4	23.34989	21.97771	19.10055	23.57207	23.11696	23.66036	22.99478	24.0052	23.18912	21.41687	22.82118	21.27008	22.15087	24.46032	23.005	25.19953	22.99938	19.35254	23.82869	23.67932	24.2844	23.41911	24.50909	23.69953	22.75297	22.97812	21.32185	23.62611	23.58807	21.82788	23.69065	24.44394
"UPF0160 protein MYG1, mitochondrial"	C12orf10	24.38295	24.79634	24.56395	25.3835	24.35813	24.51136	24.40493	24.0388	25.49048	25.10353	25.08221	25.53996	24.98589	25.14289	25.52433	24.26789	24.79125	25.35155	25.00549	25.44815	24.89046	24.55962	25.21689	23.83358	24.4299	25.18544	25.32644	25.28737	24.93042	24.46879	24.89196	23.87816
Calcyclin-binding protein	CACYBP	24.03892	24.68562	23.98789	26.18084	24.11268	24.31405	23.0414	22.76941	24.60266	24.3938	24.66521	25.32273	23.83593	23.82925	24.12956	23.42384	22.70956	24.39473	24.81897	24.87116	24.41322	23.9132	24.55816	23.57292	20.4568	23.26076	24.62515	25.83366	24.4318	24.78549	24.65739	24.03746
Ras-related GTP-binding protein C	RRAGC	18.61845	21.59863	20.59015	21.59277	21.95558	22.08829	21.31893	22.62391	21.88353	22.03909	22.14064	21.75198	21.03289	21.67733	22.10815	21.94287	24.78535	20.8395	22.64611	22.60108	21.72738	22.86106	21.69116	22.12516	21.94108	23.21142	22.74889	22.64335	22.05314	22.9259	22.36905	22.10302
Retinol dehydrogenase 14	RDH14	21.39869	21.85803	20.89615	21.95021	21.45607	19.47014	18.76833	22.94149	21.31119	19.02626	21.22691	19.60711	21.77131	22.24546	22.40951	22.05137	22.66008	22.05049	21.30539	22.13274	21.92055	21.80348	21.9298	22.13151	21.26767	21.59933	21.16686	21.31322	22.1884	21.53363	21.82597	22.22355
Isoform 2 of Echinoderm microtubule-associated protein-like 4	EML4	23.30166	23.31874	22.39738	24.54781	22.88538	22.89358	24.31244	23.92491	23.93166	23.96108	23.37191	23.97512	23.47361	22.82364	23.89329	23.93066	24.06764	23.6322	23.64344	24.29668	23.43691	23.63655	23.99033	24.06302	24.23221	23.08216	22.19427	24.56831	24.0273	24.29803	23.93259	24.31981
Isoform 2 of Glyoxalase domain-containing protein 4	GLOD4	26.34013	26.69682	26.35222	26.92371	26.66474	26.61769	27.03314	26.38994	26.62453	26.94408	26.68082	26.72424	26.80417	26.28196	27.16297	25.98217	26.73971	26.77898	26.47678	26.6117	26.17479	26.79044	26.90642	26.34947	26.21444	26.20826	26.21656	25.74508	26.39365	25.74496	26.71887	26.18687
Chromobox protein homolog 8	CBX8	21.80226	22.49592	21.51437	21.62131	22.44662	19.81239	19.27085	19.91983	22.22779	20.12179	21.83264	20.25238	18.81429	18.8425	18.67717	20.67457	19.94726	21.95564	22.08056	21.43141	18.48862	19.99544	21.16929	19.49498	22.66102	21.37436	23.78638	22.47907	22.44693	20.22996	22.81163	22.12896
Protocadherin 9	PCDH9	20.30527	21.10336	22.02005	20.5816	21.96787	18.54671	22.25808	23.14959	21.19375	20.82314	20.94132	19.98333	21.23675	21.36531	21.27504	21.40963	22.97383	21.78511	20.60943	21.06452	21.83428	21.83471	21.20023	21.48039	23.26644	22.86002	20.68177	21.69536	21.33941	21.55676	21.26739	21.4636
Spondin-1	SPON1	23.66534	22.12362	23.17462	22.30424	22.25148	23.20422	24.25494	25.17233	21.85476	20.07367	23.44257	22.47914	24.32001	25.32869	24.96339	26.29007	23.26284	23.37864	23.3237	23.03579	24.85574	26.06493	24.82253	25.48102	20.88724	22.87155	22.45131	24.1325	23.98219	23.80146	23.7699	23.92808
"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial (Fragment)"	MCCC2	21.10486	21.40104	21.36185	20.15347	21.66986	20.94301	22.14504	19.36798	20.12168	20.00364	17.23231	22.7774	21.46473	19.57921	19.08639	21.51217	23.75913	18.34874	20.2976	20.51038	19.08858	20.35907	20.7496	21.80016	23.39231	22.53742	19.16358	21.34137	18.52374	21.20658	20.94828	22.44235
Nuclear receptor coactivator 5	NCOA5	22.63733	23.07887	23.179	23.04332	21.03014	22.95129	23.04235	20.81874	18.20927	21.94467	19.41795	22.88881	21.78839	22.85897	18.8738	20.26949	21.75721	19.88849	23.05421	19.57523	18.95228	22.60806	23.57034	18.80098	22.9813	22.90944	23.59168	23.01432	23.93805	21.08721	20.53596	20.29734
Protein TANC2	TANC2	20.55368	19.16093	22.38023	22.20338	23.31216	23.74841	22.47843	24.79602	23.23355	23.35165	23.31934	23.01439	23.11024	23.01488	23.64288	23.80994	25.75727	24.20369	23.21163	23.61885	23.71784	23.83377	22.73044	23.93784	22.71134	23.53624	21.90989	22.67573	23.24792	23.46378	23.24435	23.61903
Copine-5	CPNE5	22.82322	19.02327	20.78881	20.48786	22.78043	21.69527	20.83	24.56911	19.82247	17.0442	22.47553	21.53646	23.43584	23.02359	24.04049	23.79485	23.79761	21.84567	23.02384	22.8415	22.98689	23.69491	23.68535	24.00336	20.67137	23.74731	19.53533	20.63829	22.83264	22.99059	23.7591	23.99624
Synaptic vesicle membrane protein VAT-1 homolog-like	VAT1L	22.22803	23.08289	22.91578	22.74884	20.5064	21.96179	22.26568	25.24916	23.11159	23.20998	23.50502	23.77481	22.93787	24.97454	24.08654	25.84923	23.25855	22.77683	23.94705	24.52526	23.46589	25.43744	24.70055	25.05639	21.32215	22.53378	22.36013	22.52997	22.67708	21.70196	23.76015	24.51919
Plexin-A4	PLXNA4	25.20336	25.84558	25.22915	26.36164	25.35321	25.80715	25.86051	26.5102	26.65959	27.36477	27.76169	28.14863	28.01854	28.32485	28.53068	27.4954	27.07849	27.80172	27.68635	28.36885	27.82712	28.04228	28.39973	27.45599	25.71819	26.27971	25.87188	26.35315	26.33509	26.93645	27.00989	26.61305
